date,temperature_2m_mean,daylight_duration,sunshine_duration,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,location
2020-03-22 23:00:00+00:00,-6.0543327,44455.86,40118.58,0.0,0.0,5.8603754,77.39139,20.9,"47.0148862689,9.2490818321"
2020-03-23 23:00:00+00:00,-9.104333,44660.69,40651.996,0.0,0.0,5.904439,88.49256,21.7,"47.0148862689,9.2490818321"
2020-03-24 23:00:00+00:00,-9.483501,44865.344,36420.99,0.5,5.0,7.2359104,88.793945,17.65,"47.0148862689,9.2490818321"
2020-03-25 23:00:00+00:00,-8.337666,45069.7,37251.93,0.0,0.0,6.0347,142.83914,18.93,"47.0148862689,9.2490818321"
2020-03-26 23:00:00+00:00,-2.98975,45273.625,40364.742,0.0,0.0,5.506941,150.36856,19.48,"47.0148862689,9.2490818321"
2020-03-27 23:00:00+00:00,-0.63974994,45476.996,40326.277,0.0,0.0,6.519877,323.22665,15.43,"47.0148862689,9.2490818321"
2020-03-28 23:00:00+00:00,-2.6376667,45679.684,28437.488,5.0000005,12.0,6.830519,9.416896,13.99,"47.0148862689,9.2490818321"
2020-03-29 23:00:00+00:00,-7.9876676,45881.555,0.0,10.800001,21.0,6.6087217,23.913685,7.73,"47.0148862689,9.2490818321"
2020-03-30 23:00:00+00:00,-9.6918335,46082.473,42549.906,0.0,0.0,6.162207,88.65217,23.09,"47.0148862689,9.2490818321"
2020-03-31 23:00:00+00:00,-7.6085,46282.312,42746.85,0.0,0.0,6.28713,212.59256,23.32,"47.0148862689,9.2490818321"
2020-04-01 23:00:00+00:00,-4.837666,46480.94,42942.27,0.0,0.0,6.4096174,272.43658,22.74,"47.0148862689,9.2490818321"
2020-04-02 23:00:00+00:00,-4.143917,46678.418,42670.27,0.0,0.0,5.8048253,297.22858,18.84,"47.0148862689,9.2490818321"
2020-04-03 23:00:00+00:00,-3.6689174,46876.14,43329.84,0.0,0.0,4.802999,161.0534,23.38,"47.0148862689,9.2490818321"
2020-04-04 23:00:00+00:00,-0.114750005,47074.29,43523.59,0.0,0.0,6.9899354,157.47261,24.01,"47.0148862689,9.2490818321"
2020-04-05 23:00:00+00:00,1.1144165,47272.742,43717.332,0.0,0.0,8.825508,166.47684,24.02,"47.0148862689,9.2490818321"
2020-04-06 23:00:00+00:00,3.6373332,47471.387,43910.934,0.0,0.0,6.618519,106.35246,23.96,"47.0148862689,9.2490818321"
2020-04-07 23:00:00+00:00,2.1602502,47670.082,44104.266,0.0,0.0,7.342588,248.19858,23.8,"47.0148862689,9.2490818321"
2020-04-08 23:00:00+00:00,3.5644166,47868.727,44297.234,0.0,0.0,6.28713,50.14795,21.54,"47.0148862689,9.2490818321"
2020-04-09 23:00:00+00:00,2.1581666,48067.18,44489.71,0.0,0.0,6.638072,258.0239,24.35,"47.0148862689,9.2490818321"
2020-04-10 23:00:00+00:00,3.9123335,48265.32,44681.56,0.0,0.0,5.937272,98.25932,23.8,"47.0148862689,9.2490818321"
2020-04-11 23:00:00+00:00,3.1623333,48463.02,44103.805,0.2,2.0,5.8048253,191.25766,23.21,"47.0148862689,9.2490818321"
2020-04-12 23:00:00+00:00,2.1935833,48660.145,44227.754,2.0,4.0,6.638072,320.0424,23.32,"47.0148862689,9.2490818321"
2020-04-13 23:00:00+00:00,-3.5585003,48856.555,35077.043,2.2,3.0,7.145796,343.67303,20.64,"47.0148862689,9.2490818321"
